type,group,lnC/lnN,lnC/lnP,lnN/lnP,lnClnN,lnClnP,length,angle
woodland,low,1.384990472,0.77814554,0.5618418,1.363190453,0.760989325,0.804949771,77.56057359
woodland,low,1.852185809,0.79976418,0.431794789,1.885868552,0.786733761,0.916674784,75.96095704
woodland,low,1.801015711,0.819290959,0.454904949,1.823822103,0.807228461,0.924625122,75.08282945
woodland,low,0.935827724,0.72692028,0.375508766,1.016640678,0.711618995,0.896821665,80.46640585
woodland,low,1.720057788,0.684355091,0.3978675,2.095548593,0.649206631,0.823927948,82.27470551
woodland,low,1.588032977,0.721282155,0.454198474,2.834643788,0.704200548,0.828036478,79.72288746
woodland,low,1.282239809,0.64009573,0.499201261,1.620492953,0.60986953,0.664548271,82.21582248
woodland,low,1.927260267,0.948805681,0.492308017,2.133952414,0.935614205,1.014638043,66.31327136
woodland,low,1.069627024,0.956301845,0.462064823,2.490638831,0.94131217,1.026694408,65.99753776
woodland,low,2.021693913,0.93392142,0.461949959,2.367284293,0.920799133,1.012761865,67.59228825
woodland,low,0.996172986,0.722957043,0.725734439,0.923911479,0.658963407,0.398655102,77.00569698
woodland,low,0.930390229,0.673895133,0.7243145,0.958016733,0.613560701,0.331128332,77.65479315
woodland,low,1.071145185,0.75910546,0.708685872,1.043810753,0.721426695,0.537535372,76.11156212
woodland,low,1.344980231,1.001546838,0.744655434,1.307309828,0.965365785,0.896403106,59.73347556
woodland,low,1.287259633,0.987549342,0.76717184,1.252191792,0.954669111,0.8641013,59.76919483
woodland,low,1.419788887,0.971494266,0.68425262,1.389148161,0.942534189,0.921827831,63.21885481
woodland,low,1.297945181,1.031438244,0.794670113,1.328279189,1.000307055,0.915452846,56.86164713
woodland,low,1.278692208,1.049013669,0.820380121,1.324356478,1.019122823,0.925429025,55.23225872
woodland,low,1.284506149,1.040839792,0.810303472,1.344316589,1.011778745,0.92357857,55.94034928
woodland,low,1.307474523,0.842110902,0.644074425,1.321412301,0.805403619,0.772633386,73.45795518
woodland,low,1.09983778,0.804722626,0.731673926,1.079864622,0.774999432,0.60012261,72.09924414
woodland,low,1.308187521,0.869761182,0.664859715,1.34665405,0.844844881,0.811370323,71.07279259
woodland,low,1.364553776,0.842052972,0.617090353,1.499555983,0.805242715,0.800140225,73.69513301
woodland,low,1.383133261,0.83346595,0.602592659,1.585012063,0.801286625,0.810721783,74.28754826
woodland,low,1.337170528,0.823055181,0.615519984,1.495296617,0.78621049,0.774668246,74.67384808
woodland,low,0.896525731,0.916281231,1.02203562,0.880459725,0.892632685,0.817282218,42.3507277
woodland,low,0.893148866,0.870842559,0.975025097,0.875046861,0.845406357,0.817282218,48.15949397
woodland,low,0.84702472,0.849813624,1.003292589,0.82830332,0.821668686,0.817282218,44.5787146
woodland,high,1.433611162,0.751793206,0.52440524,1.424160718,0.737695285,0.81582059,79.23605792
woodland,high,1.697996353,0.772237922,0.454793628,1.707074402,0.760478333,0.900389332,79.19912293
woodland,high,1.853731243,0.769900939,0.415325006,1.895291051,0.75485593,0.917472624,79.47605754
woodland,high,2.317250065,0.681723883,0.517535661,2.322023776,0.668543485,0.732401545,81.60839687
woodland,high,1.397827185,0.701392207,0.501773191,1.408124213,0.688781507,0.776402546,81.02489792
woodland,high,1.453403542,0.694599898,0.477912623,1.476626093,0.679926396,0.794564598,81.86970418
woodland,high,2.396666379,0.412231894,0.172002201,2.887479044,0.378594563,0.799515228,88.89637988
woodland,high,1.712666928,0.463708085,0.270752052,1.672901706,0.42811105,0.745583084,88.47893763
woodland,high,1.475410592,0.452513526,0.306703455,1.337340378,0.400852087,0.808673281,88.27884546
woodland,high,1.34736053,0.903877059,0.670850184,1.816936123,0.878442852,0.802363474,62.472425
woodland,high,1.422099657,0.880567284,0.619202233,1.752573812,0.83273111,0.802219793,67.75157864
woodland,high,1.163367189,0.764899516,0.657487613,2.298183634,0.733920204,0.808673281,68.51187493
upland,low,1.370816958,0.810402937,0.591182457,1.3178437,0.776095915,0.812580319,78.58757179
upland,low,1.523930204,0.815232465,0.534953939,1.474490826,0.782698042,0.878940289,79.1243674
upland,low,1.44555095,0.850523678,0.588373366,1.393368082,0.807993033,0.852302269,76.29319485
upland,low,1.319703237,0.558946513,0.423539548,1.285956698,0.542393508,0.675160072,84.99801073
upland,low,1.351653966,0.575294923,0.425622931,1.304399468,0.552373773,0.683269982,84.53322527
upland,low,1.469213331,0.74362608,0.506138941,1.439675519,0.724264526,0.773413768,74.7175456
upland,low,1.51710593,0.596812981,0.393389129,1.460877409,0.559028868,0.753613083,86.22643468
upland,low,1.752859964,0.654111796,0.373168313,1.703687396,0.623276192,0.847170559,85.06519033
upland,low,1.593600131,0.634268799,0.398010007,1.552842961,0.603035088,0.804249475,85.53461894
upland,low,1.511875711,0.709073494,0.469002504,1.455139531,0.672799101,0.809303861,83.32104774
upland,low,1.69216818,0.722876677,0.427189617,1.648413512,0.691460847,0.86800333,82.99820602
upland,low,1.658314435,0.74228445,0.447613814,1.623779743,0.707761444,0.858835488,81.630575
upland,low,1.950478038,0.773338196,0.396486492,1.981390117,0.761594653,0.776925026,78.52574169
upland,low,1.886499827,0.747146303,0.396048965,1.89777511,0.733762506,0.776925026,79.78773263
upland,low,1.690393104,0.738858711,0.437092833,1.710388695,0.726151126,0.776925026,79.90067994
upland,low,1.67625458,0.966954338,0.576854107,1.713074999,0.943632292,0.776925026,65.10986694
upland,low,1.855161323,0.980334564,0.528436288,1.94257097,0.955400428,0.776925026,64.95989302
upland,low,1.615319949,0.972946416,0.602324274,1.640474094,0.955904926,0.776925026,64.33914267
upland,low,0.959476332,0.765252858,0.79757346,1.420243075,0.732527294,0.46454896,64.05003695
upland,low,1.208485407,0.749515581,0.620210701,2.119449081,0.718220471,0.659689523,75.87719686
upland,low,1.065903025,0.76018814,0.713186962,2.107466691,0.738870441,0.566230736,71.69340155
upland,low,1.454354678,0.977805814,0.672329679,1.859743024,0.956505175,0.776925026,63.80942556
upland,low,1.546404199,0.99219659,0.641615297,1.912992421,0.974557574,0.776925026,63.14882412
upland,low,1.445870017,0.993123235,0.68686896,1.653182718,0.976326289,0.776925026,62.31836625
upland,low,1.116680989,0.970161255,0.868789981,1.254072169,0.960188636,0.765922929,54.43256399
upland,low,1.185658353,0.982912617,0.829001554,1.247755951,0.969815739,0.817508832,55.68558076
upland,low,1.327078309,0.990758779,0.746571451,1.405975578,0.975085588,0.897450994,58.58859971
upland,low,1.250058685,1.124631332,0.899662828,1.340605442,1.109421763,0.776925026,49.39826476
upland,low,1.335514133,1.087728047,0.814463898,1.560575866,1.072713245,0.776925026,52.99214089
upland,low,1.183129341,1.070300568,0.904635301,1.272912476,1.054968201,0.889765526,50.17463799
upland,low,1.236355405,0.920644945,0.744644251,1.234530026,0.911903992,0.82114212,63.21445517
upland,low,1.243227864,0.917619152,0.7380941,1.224088264,0.90246766,0.821619573,65.09856865
upland,low,1.241944889,0.836012479,0.673147808,1.228986322,0.822122053,0.771628872,73.05395163
upland,high,2.066683386,0.777152013,0.376038254,1.947357689,0.714953515,0.919864317,82.30105576
upland,high,2.10667576,0.790884152,0.375418072,2.073651955,0.735906767,0.931177025,81.1659298
upland,high,2.292886061,0.861416218,0.375690808,2.297154811,0.829861546,0.848904484,76.02359302
upland,high,2.398027194,0.779126027,0.324902915,3.24718504,0.751586537,0.937135568,77.69441393
upland,high,1.995938505,0.770835048,0.386201802,2.47544952,0.7435014,0.904032629,77.95556254
upland,high,2.097498035,0.740120277,0.352858627,2.981193504,0.703784519,0.891118542,79.62396002
upland,high,2.114375831,0.726502143,0.343601233,2.876975796,0.681803949,0.888200955,81.24290111
upland,high,2.282586404,0.724623175,0.317457063,3.080831336,0.679884021,0.903240985,81.55912721
upland,high,2.048874848,0.686971375,0.335292014,2.518903624,0.65279361,0.87866364,82.84545098
upland,high,1.810980627,0.726896965,0.401383071,2.002374946,0.692894819,0.870868153,81.60026343
upland,high,1.830685975,0.753967751,0.411849854,1.917196105,0.712657163,0.878832071,80.64686154
upland,high,1.605823982,0.736313199,0.458526717,1.671639786,0.709125708,0.842438374,80.73859941
upland,high,2.241684798,0.860139706,0.383702342,3.083052055,0.839461776,0.848904484,70.8457518
upland,high,2.465846841,0.779541237,0.316135303,4.540565806,0.752332533,0.848904484,76.44962508
upland,high,2.439640535,0.846986982,0.347176959,3.733034039,0.815299073,0.848904484,73.04893811
upland,high,1.360172101,0.778555864,0.572395114,1.700020834,0.73785419,0.748117566,76.53621705
upland,high,1.216650716,0.767770203,0.631052276,1.461940394,0.745962897,0.685761725,74.04860379
upland,high,1.197449976,0.762876067,0.637083872,1.399612669,0.722447198,0.643499321,75.08292986
upland,high,1.379270713,0.778821307,0.564661672,1.704899717,0.766920473,0.796683252,75.68308392
upland,high,1.379270713,0.778821307,0.564661672,1.704899717,0.766920473,0.796683252,75.68308392
upland,high,1.379270713,0.778821307,0.564661672,1.704899717,0.766920473,0.796683252,75.68308392
upland,high,1.466073831,0.875127243,0.596918944,3.551190523,0.842747336,0.874871,72.58025735
upland,high,1.475791983,0.93167752,0.631306804,2.874858303,0.896462637,0.913872264,68.34011941
upland,high,1.489316902,0.860782161,0.577971122,2.526737501,0.826522036,0.876345785,74.43514076
paddy,low,1.596630759,0.773208586,0.484275141,1.570105749,0.748946723,0.868790408,79.57168443
paddy,low,0.519529103,0.766739656,0.504590307,1.493706102,0.736541289,0.833988791,79.53709872
paddy,low,1.59762909,0.763649371,0.47798915,1.570519949,0.735958719,0.862364777,80.33785981
paddy,low,1.463988991,0.874116541,0.59707863,1.448820115,0.857596726,0.886540382,70.94570194
paddy,low,1.440534721,0.846823796,0.58785379,1.41510086,0.824494173,0.861453807,73.9869308
paddy,low,1.451610909,0.868210465,0.598101365,1.430932453,0.848379767,0.876841786,71.76866007
paddy,low,1.235422518,0.870905268,0.704945276,1.247136898,0.856511498,0.775968414,67.98780594
paddy,low,1.144634464,0.889019532,0.776684225,1.152649773,0.868196286,0.704838439,63.03004447
paddy,low,1.152432936,0.908912473,0.788690123,1.141071491,0.868919387,0.691042708,61.82949279
paddy,low,1.175851476,0.958087322,0.81480301,1.25335018,0.93585614,0.775947884,57.59724698
paddy,low,1.094830452,1.012882218,0.92514984,1.12532621,0.994677849,0.768456211,50.0847695
paddy,low,1.145106131,0.972014141,0.848841967,1.220938381,0.949065959,0.764241467,55.4985765
paddy,low,1.194963914,0.685713091,0.573835815,1.523409957,0.659070225,0.657391239,83.57769057
paddy,low,1.211173391,0.699481507,0.57752384,1.400326127,0.667980318,0.668205973,83.46998406
paddy,low,1.118083302,0.654295935,0.585194263,1.569878508,0.632639646,0.589441593,83.81202985
paddy,low,1.18936528,0.750749328,0.631218466,1.25793182,0.729182687,0.6813014,79.53432754
paddy,low,1.153928859,0.744436058,0.645131675,1.232779568,0.716909014,0.638362808,79.92851278
paddy,low,1.103283918,0.73124723,0.662791525,1.188410693,0.702682374,0.58173666,80.05226984
paddy,low,1.122628177,0.727845985,0.648341098,1.092846333,0.707873421,0.618674386,80.80474494
paddy,low,1.173433394,0.769657049,0.655901778,1.157298426,0.758261642,0.692336943,77.50451716
paddy,low,1.159737791,0.725117868,0.625242942,1.133724593,0.707688309,0.660519652,81.71018387
paddy,high,4.718265306,0.378754883,0.080274181,1.654929266,0.3461584,0.799283323,87.6568738
paddy,high,3.73571964,0.382382481,0.035617778,1.654929266,0.348190519,0.839309687,87.87513528
paddy,high,3.982671093,0.414104158,0.103976489,1.654929266,0.388624276,0.809407777,86.91730747
paddy,high,2.006917378,0.738688438,0.368071175,1.961204134,0.705048055,0.908990933,81.93682518
paddy,high,1.913890352,0.717904051,0.375101975,1.838707791,0.674500969,0.880190514,82.87831557
paddy,high,1.847712658,0.702685227,0.380300056,1.812379764,0.67319301,0.874784094,82.84328498
paddy,high,1.821926825,0.730375673,0.400880904,1.780680482,0.690612158,0.889492953,83.34519539
paddy,high,1.746120714,0.725767525,0.415645676,1.758793692,0.702151456,0.888099153,82.83441286
paddy,high,1.896253471,0.767531711,0.404762192,1.92225375,0.730749516,0.915018906,81.55419521
paddy,high,1.158741893,0.888177492,0.76650158,1.391383662,0.869116895,0.717267265,63.04224426
paddy,high,1.102266787,0.927265054,0.841234685,1.170629163,0.903701798,0.692696567,57.99715019
paddy,high,1.121404996,0.957947941,0.854239053,1.258330955,0.923500545,0.71420111,56.30847107
